country,year,GENmun,ENRmun,RECmun,MRECmun,GENpac,RCOpac,RECpac,GENplas,RCOplas,RECplas,gov_right1,gov_cent1,gov_left1,TAXtotl_per,TAXrespol_per,TAXtotl_eur,TAXrespol_eur,EPS,TAXrespol_eur_log,TAXrespol_per_log,BIZred,BIZrec,BIZdes,BIZprod,no,INDrec,INDred,INDimp,GDPpc,POPden,URB,EDU,GDPpc_log,POPden_log,RECpac_percent,RECplas_percent,MRECmun_percent,GDPpc_log_mean,GDPpc_log_within,POPden_log_mean,POPden_log_within,URB_mean,URB_within,EDU_mean,EDU_within,gov_right1_mean,gov_right1_within,EPS_mean,EPS_within,INDimp_mean,INDimp_within,INDred_mean,INDred_within,INDrec_mean,INDrec_within
Austria,2004,574.0,169.0,329.0,137.0,134.83,111.05,89.28,27.55,22.76,9.13,25.0,66.67,0.0,2.69,0.03,790.4817518819829,8.502238017142998,2.1944444,2.140329424974397,-3.506557897319982,,,,,,68.0,43.0,2.74,33523.02049682828,99.03012603005332,59.094,15.8,10.41998766082357,4.595424107177593,0.6621671734777126,0.3313974591651543,0.23867595818815332,10.766662392266623,-0.34667473144305205,4.641386999354616,-0.04596289217702232,58.12552631578947,0.9684736842105295,22.58421052631579,-6.784210526315789,7.717894736842105,17.282105263157895,2.8660130529411765,-0.6715686529411764,3.223333333333334,-0.48333333333333384,40.0,3.0,52.833333333333336,15.166666666666664
Austria,2005,575.0,159.0,335.0,143.0,135.08,115.33,90.41,27.35,24.0,8.99,25.0,66.67,0.0,2.59,0.02,794.3249671328853,7.176862815209213,2.3055556,1.9708623537618664,-3.912023005428146,,,,,,,,,34776.66995352181,99.70708919049927,58.813,15.0,10.456702037307132,4.602236779660591,0.6693070772875332,0.3287020109689214,0.24869565217391304,10.766662392266623,-0.30996035495949137,4.641386999354616,-0.03915021969402499,58.12552631578947,0.6874736842105307,22.58421052631579,-7.58421052631579,7.717894736842105,17.282105263157895,2.8660130529411765,-0.5604574529411765,3.223333333333334,,40.0,,52.833333333333336,
Austria,2006,597.0,173.0,353.0,152.0,141.06,123.38,96.46,28.8,26.12,10.3,25.0,66.67,0.0,2.46,0.03,792.2946467261065,10.064531765256223,2.5277777,2.3090175369223056,-3.506557897319982,,,,,,,,,37396.03509608662,100.201660203587,58.532,14.7,10.529319964309177,4.607184757411575,0.6838224868850135,0.3576388888888889,0.254606365159129,10.766662392266623,-0.23734242795744542,4.641386999354616,-0.034202241943040335,58.12552631578947,0.40647368421052477,22.58421052631579,-7.8842105263157904,7.717894736842105,17.282105263157895,2.8660130529411765,-0.33823535294117635,3.223333333333334,,40.0,,52.833333333333336,
Austria,2007,597.0,175.0,359.0,159.0,142.79,128.87,95.89,29.49,28.09,9.66,0.68,50.46,48.63,2.46,0.03,835.8038533482121,9.95842679278504,2.25,2.2984191065890696,-3.506557897319982,,,,,,,,,39193.81736409769,100.52698739699468,58.249,14.6,10.576274293035768,4.61042622276443,0.671545626444429,0.3275686673448627,0.2663316582914573,10.766662392266623,-0.1903880992308551,4.641386999354616,-0.030960776590185368,58.12552631578947,0.12347368421053062,22.58421052631579,-7.98421052631579,7.717894736842105,-7.037894736842105,2.8660130529411765,-0.6160130529411765,3.223333333333334,,40.0,,52.833333333333336,
Austria,2008,600.0,163.0,380.0,177.0,141.82,129.82,96.31,30.23,29.41,10.54,0.0,50.0,50.0,2.4,0.03,840.7118143180024,9.057265664731435,2.6666667,2.203567271493419,-3.506557897319982,,,,,,50.0,44.0,3.4000000000000004,41046.79003521116,100.8421715947649,57.966,15.0,10.622467915360494,4.613556637141046,0.6791002679452828,0.34866027125372145,0.295,10.766662392266623,-0.1441944769061294,4.641386999354616,-0.027830362213570048,58.12552631578947,-0.15952631578947063,22.58421052631579,-7.58421052631579,7.717894736842105,-7.717894736842105,2.8660130529411765,-0.19934635294117653,3.223333333333334,0.1766666666666663,40.0,4.0,52.833333333333336,-2.8333333333333357
Austria,2009,590.0,173.0,365.0,179.0,139.5,129.19,93.34,30.66,29.72,10.03,0.0,50.0,50.0,2.4,0.02,823.8324226450301,8.359978392302443,2.9444444,2.1234558424404524,-3.912023005428146,,,,,,,,,40665.504660501865,101.1066771691711,57.683,16.0,10.613135460716956,4.616176169040108,0.6691039426523298,0.327136333985649,0.30338983050847457,10.766662392266623,-0.153526931549667,4.641386999354616,-0.025210830314507326,58.12552631578947,-0.4425263157894719,22.58421052631579,-6.58421052631579,7.717894736842105,-7.717894736842105,2.8660130529411765,0.0784313470588236,3.223333333333334,,40.0,,52.833333333333336,
Austria,2010,562.0,196.0,334.0,152.0,147.17,135.69,97.95,31.63,31.63,10.87,0.0,50.0,50.0,2.4,0.02,844.9956500965396,7.449119999464333,3.0833333,2.0080959045373774,-3.912023005428146,,,,,,,,,41740.11492417584,101.35002423654872,57.399,16.2,10.639217933961753,4.618580112035116,0.6655568390296936,0.343661081251976,0.2704626334519573,10.766662392266623,-0.12744445830487017,4.641386999354616,-0.022806887319499758,58.12552631578947,-0.7265263157894708,22.58421052631579,-6.3842105263157904,7.717894736842105,-7.717894736842105,2.8660130529411765,0.21732024705882358,3.223333333333334,,40.0,,52.833333333333336,
Austria,2011,573.0,200.0,325.0,137.0,146.82,137.64,96.64,31.48,31.48,10.95,0.0,50.0,50.0,2.51,0.02,920.89475207656,7.673110021482087,3.0555556,2.0377220118757453,-3.912023005428146,,,,,,56.99999999999999,41.0,3.3200000000000003,44171.5618687028,101.69223218613668,57.115,16.3,10.695836464361667,4.621950920453433,0.6582209508241385,0.34783989834815754,0.23909249563699825,10.766662392266623,-0.07082592790495568,4.641386999354616,-0.01943607890118315,58.12552631578947,-1.0105263157894697,22.58421052631579,-6.284210526315789,7.717894736842105,-7.717894736842105,2.8660130529411765,0.18954254705882345,3.223333333333334,0.09666666666666623,40.0,1.0,52.833333333333336,4.166666666666657
Austria,2012,579.0,201.0,334.0,139.0,148.7,139.77,98.02,32.24,32.24,11.17,0.0,50.0,50.0,2.51,0.02,940.8289996988134,8.559914239528844,2.9444444,2.147090171356832,-3.912023005428146,46.0,52.0,,35.0,62.0,,,,46156.48320730371,102.15694377120698,57.147,16.9,10.739792711262785,4.6265102951766215,0.6591795561533289,0.3464640198511166,0.24006908462867013,10.766662392266623,-0.026869681003837798,4.641386999354616,-0.014876704177994249,58.12552631578947,-0.9785263157894732,22.58421052631579,-5.684210526315791,7.717894736842105,-7.717894736842105,2.8660130529411765,0.0784313470588236,3.223333333333334,,40.0,,52.833333333333336,
Austria,2013,578.0,202.0,334.0,142.0,149.97,144.07,99.85,34.05,34.05,11.71,0.0,50.0,50.0,2.56,0.02,970.4648316362264,8.59569828285331,3.2777777,2.151261878449656,-3.912023005428146,69.0,65.0,,43.0,53.0,,,,47519.852279657134,102.76082161900143,57.336,17.7,10.768902845438621,4.632404167723552,0.665799826631993,0.343906020558003,0.24567474048442905,10.766662392266623,0.002240453171998169,4.641386999354616,-0.008982831631064059,58.12552631578947,-0.7895263157894732,22.58421052631579,-4.8842105263157904,7.717894736842105,-7.717894736842105,2.8660130529411765,0.41176464705882365,3.223333333333334,,40.0,,52.833333333333336,
