country,year,GDPpc,POPden,URB,EDU
Austria,2004,33523.02049682828,99.03012603005332,59.094,15.8
Austria,2005,34776.66995352181,99.70708919049927,58.813,15.0
Austria,2006,37396.03509608662,100.20166020358701,58.532,14.7
Austria,2007,39193.81736409769,100.52698739699467,58.249,14.6
Austria,2008,41046.79003521116,100.8421715947649,57.966,15.0
Austria,2009,40665.504660501865,101.1066771691711,57.683,16.0
Austria,2010,41740.11492417584,101.35002423654872,57.399,16.2
Austria,2011,44171.5618687028,101.69223218613669,57.115,16.3
Austria,2012,46156.48320730371,102.15694377120698,57.147,16.9
Austria,2013,47519.852279657134,102.76082161900145,57.336,17.7
Austria,2014,48355.497762440704,103.5670867668444,57.526,27.4
Austria,2015,49562.59392579865,104.73459767329132,57.715,28.1
Austria,2016,52397.863517667276,105.87333979641299,57.905,28.9
Austria,2017,53869.832118355465,106.61131846825012,58.094,29.7
Austria,2018,56636.49530305386,107.13185894328647,58.297,30.1
Austria,2019,60354.9279422121,107.60930683470674,58.515,31.1
Austria,2020,58523.033781624414,108.05700436257877,58.748,31.3
Austria,2021,62968.94223118889,108.52880513814833,58.995,31.8
Austria,2022,70734.94256479004,109.57163111972855,59.256,32.5
Austria,2023,70478.78736354108,,59.53,33.6
Austria,2024,,,59.819,34.4
Belgium,2004,32063.98269498654,343.55774239277355,97.35,26.3
Belgium,2005,33177.89094581582,345.45270827151944,97.403,27.2
Belgium,2006,35258.98506320303,347.7387004252794,97.454,27.9
Belgium,2007,36799.53186863432,350.3016516665018,97.505,28.1
Belgium,2008,37883.331941781944,353.07991296607656,97.555,28.4
Belgium,2009,37885.90591256016,355.93225200276925,97.603,29.4
Belgium,2010,39844.40543864959,359.1990900998912,97.651,30.7
Belgium,2011,41244.84950352129,363.9028121188145,97.698,30.4
Belgium,2012,42483.525066678776,366.1666172155738,97.744,31.3
Belgium,2013,43864.120419683815,367.89658128111296,97.789,31.5
Belgium,2014,45147.64295340567,369.53341245508193,97.833,32.6
Belgium,2015,46084.24245517168,371.68087561401774,97.876,32.7
Belgium,2016,48414.55180656812,373.56746777437115,97.919,33.2
Belgium,2017,50256.06317727839,375.00932977285464,97.961,35.6
