country,year,INDrec,INDred,INDimp_likert,INDimp_percent,INDimp_percent_strict
Austria,2004,0.68,0.43,2.74,0.63,0.23
Austria,2008,0.5,0.44,3.4000000000000004,0.91,0.51
Austria,2011,0.57,0.41,3.3200000000000003,0.9,0.44
Austria,2014,0.47,0.3,3.4200000000000004,0.91,0.53
Austria,2017,0.49,0.39,3.22,0.85,0.41
Austria,2019,0.46,0.43,3.24,0.86,0.42
Austria,2024,0.63,0.62,,,
Belgium,2004,0.76,0.34,2.8,0.64,0.21
Belgium,2008,0.66,0.32,3.61,0.96,0.66
Belgium,2011,0.66,0.34,3.5599999999999996,0.95,0.62
Belgium,2014,0.55,0.23,3.45,0.95,0.5
Belgium,2017,0.72,0.32,3.51,0.95,0.57
Belgium,2019,0.7,0.35,3.4,0.95,0.46
Belgium,2024,0.63,0.43,,,
Bulgaria,2008,0.46,0.17,3.6,0.94,0.72
Bulgaria,2011,0.55,0.28,3.7500000000000004,0.98,0.79
Bulgaria,2014,0.4,0.14,3.58,0.9400000000000001,0.67
Bulgaria,2017,0.17,0.16,3.5799999999999996,0.94,0.69
Bulgaria,2019,0.23,0.22,3.44,0.9099999999999999,0.59
Bulgaria,2024,0.4,0.39,,,
Croatia,2014,0.59,0.18,3.4999999999999996,0.9299999999999999,0.58
Croatia,2017,0.44,0.15,3.2399999999999998,0.87,0.4
Croatia,2019,0.56,0.21,3.37,0.9199999999999999,0.45
Croatia,2024,0.57,0.36,,,
Cyprus,2004,0.64,0.25,3.1599999999999997,0.84,0.37
Cyprus,2008,0.48,0.15,3.9299999999999997,0.99,0.94
Cyprus,2011,0.67,0.2,3.89,1.0,0.89
Cyprus,2014,0.59,0.15,3.7,0.98,0.72
Cyprus,2017,0.58,0.13,3.86,0.99,0.87
Cyprus,2019,0.68,0.24,3.73,0.97,0.76
Cyprus,2024,0.64,0.28,,,
Czechia,2004,0.8,0.24,2.99,0.75,0.28
Czechia,2008,0.72,0.3,3.61,0.98,0.63
Czechia,2011,0.73,0.24,3.55,0.95,0.6
Czechia,2014,0.73,0.17,3.4299999999999997,0.9299999999999999,0.51
