country,year,GENpac,RCOpac,RECpac,GENplas,RCOplas,RECplas
Austria,2004,134.83,111.05,89.28,27.55,22.76,9.13
Austria,2005,135.08,115.33,90.41,27.35,24.0,8.99
Austria,2006,141.06,123.38,96.46,28.8,26.12,10.3
Austria,2007,142.79,128.87,95.89,29.49,28.09,9.66
Austria,2008,141.82,129.82,96.31,30.23,29.41,10.54
Austria,2009,139.5,129.19,93.34,30.66,29.72,10.03
Austria,2010,147.17,135.69,97.95,31.63,31.63,10.87
Austria,2011,146.82,137.64,96.64,31.48,31.48,10.95
Austria,2012,148.7,139.77,98.02,32.24,32.24,11.17
Austria,2013,149.97,144.07,99.85,34.05,34.05,11.71
Austria,2014,152.52,146.7,101.56,34.16,34.16,11.47
Austria,2015,151.72,146.08,101.85,34.12,34.12,11.46
Austria,2016,153.46,146.83,102.58,34.09,34.09,11.45
Austria,2017,156.52,149.15,102.72,34.36,34.36,11.48
Austria,2018,159.9,152.28,104.75,34.16,34.16,10.89
Austria,2019,161.89,154.45,105.81,33.31,33.31,10.25
Austria,2020,157.34,148.52,99.61,33.55,33.55,8.49
Austria,2021,164.61,155.63,107.53,33.67,33.36,8.72
Austria,2022,163.2,155.28,107.69,33.17,33.17,8.43
Austria,2023,152.37,145.39,98.49,32.29,32.29,8.69
Belgium,2004,156.6,145.15,119.61,27.01,22.98,9.86
Belgium,2005,158.36,146.89,121.65,27.7,23.41,10.55
Belgium,2006,157.9,149.18,124.74,28.66,24.42,11.05
Belgium,2007,157.07,149.51,126.34,29.06,24.96,11.17
Belgium,2008,157.81,149.91,124.44,28.16,24.29,11.12
Belgium,2009,152.11,144.78,120.29,28.11,24.6,12.09
Belgium,2010,154.74,147.76,123.41,28.96,25.43,12.01
Belgium,2011,154.24,149.48,123.65,28.62,26.43,11.84
Belgium,2012,154.46,149.83,124.06,28.85,26.74,11.98
Belgium,2013,155.77,150.5,122.6,29.51,26.93,11.5
Belgium,2014,155.4,154.2,126.4,29.36,28.86,12.27
Belgium,2015,155.32,154.26,126.64,30.13,29.62,12.82
Belgium,2016,157.13,156.74,128.71,30.28,30.13,13.15
Belgium,2017,156.55,156.0,131.16,30.36,30.06,13.5
Belgium,2018,157.51,156.84,134.31,30.4,30.02,12.9
Belgium,2019,160.62,159.82,134.18,30.57,30.38,14.46
Belgium,2020,167.28,165.42,132.49,32.0,31.82,14.3
Belgium,2021,170.75,169.26,136.57,32.02,31.79,15.76
Belgium,2022,167.1,165.62,133.72,31.36,31.22,17.0
Belgium,2023,166.72,163.78,132.29,29.97,29.9,17.84
Bulgaria,2004,,,,,,
Bulgaria,2005,67.92,21.0,20.92,13.84,1.17,1.17
Bulgaria,2006,48.54,17.0,16.99,11.75,2.37,2.37
Bulgaria,2007,42.19,23.14,23.13,13.53,2.64,2.64
Bulgaria,2008,40.33,20.34,20.29,10.37,1.61,1.61
Bulgaria,2009,40.82,18.72,18.72,12.82,3.84,3.84
Bulgaria,2010,43.43,26.92,26.77,11.08,4.61,4.54
Bulgaria,2011,42.82,28.08,27.89,12.92,5.15,5.06
Bulgaria,2012,45.0,30.4,29.94,13.16,5.81,5.36
Bulgaria,2013,48.89,32.25,32.13,13.48,5.58,5.57
Bulgaria,2014,53.53,33.3,33.21,14.43,9.26,9.25
Bulgaria,2015,56.2,36.04,36.04,14.25,8.67,8.67
Bulgaria,2016,61.09,38.98,38.98,15.7,8.26,8.26
Bulgaria,2017,66.61,43.83,43.69,17.63,11.53,11.43
Bulgaria,2018,74.13,44.85,44.77,19.57,11.61,11.58
Bulgaria,2019,83.8,51.44,51.28,24.62,12.46,12.46
Bulgaria,2020,,,,,,
Bulgaria,2021,78.85,45.65,45.64,23.25,10.94,10.94
Bulgaria,2022,80.92,47.21,47.2,22.95,9.06,9.06
Bulgaria,2023,,,,,,
Croatia,2004,,,,,,
Croatia,2005,,,,,,
Croatia,2006,,,,,,
Croatia,2007,,,,,,
Croatia,2008,,,,,,
Croatia,2009,,,,,,
Croatia,2010,,,,,,
Croatia,2011,,,,,,
Croatia,2012,46.52,27.76,27.76,11.31,5.13,5.13
Croatia,2013,46.91,27.59,27.59,11.52,5.21,5.21
Croatia,2014,48.75,25.74,25.71,11.69,4.44,4.41
Croatia,2015,51.86,31.17,31.17,12.5,5.79,5.79
Croatia,2016,55.89,30.6,30.6,13.34,5.48,5.48
Croatia,2017,65.16,34.73,34.73,14.97,5.58,5.58
Croatia,2018,69.44,40.55,40.55,16.13,6.02,6.02
Croatia,2019,76.21,37.26,37.26,17.25,6.17,6.17
Croatia,2020,68.29,37.38,37.02,16.83,5.74,5.74
Croatia,2021,73.87,38.69,38.22,18.11,6.24,6.24
Croatia,2022,82.17,43.55,43.09,19.26,6.73,6.73
Croatia,2023,81.39,42.71,42.26,18.52,5.22,5.22
Cyprus,2004,199.26,43.86,43.86,44.83,4.02,4.02
Cyprus,2005,166.63,18.47,18.47,46.36,4.02,4.02
Cyprus,2006,83.98,21.17,21.17,17.05,2.48,2.48
Cyprus,2007,102.07,26.39,26.2,19.18,2.75,2.75
Cyprus,2008,111.19,38.19,37.81,21.11,3.12,3.12
Cyprus,2009,98.71,41.94,41.63,19.48,3.54,3.54
Cyprus,2010,95.88,48.04,47.95,19.03,5.19,5.18
Cyprus,2011,88.8,46.2,46.13,17.85,6.8,6.78
Cyprus,2012,86.75,48.35,47.95,17.62,7.9,7.9
Cyprus,2013,91.31,51.67,51.65,18.25,8.27,8.27
Cyprus,2014,85.69,50.34,50.28,18.56,8.66,8.65
Cyprus,2015,85.97,51.52,51.4,18.99,12.11,12.1
Cyprus,2016,86.23,58.26,55.71,19.34,14.37,12.04
Cyprus,2017,89.94,61.83,59.54,20.47,15.56,13.31
Cyprus,2018,86.73,60.76,60.72,19.97,10.85,10.85
Cyprus,2019,92.31,66.11,61.03,20.63,10.55,10.41
Cyprus,2020,91.68,59.01,54.08,20.28,10.52,9.86
Cyprus,2021,92.32,56.67,53.34,22.89,11.78,8.67
Cyprus,2022,98.55,81.45,67.88,23.97,16.75,9.37
Cyprus,2023,,,,,,
Czechia,2004,76.1,47.56,42.4,17.37,10.21,7.61
Czechia,2005,82.99,54.59,48.95,20.25,9.73,7.09
Czechia,2006,87.77,60.45,55.68,19.93,11.35,8.84
Czechia,2007,93.47,66.56,61.55,21.08,12.1,9.6
Czechia,2008,93.18,69.07,62.53,20.82,14.42,10.44
Czechia,2009,85.63,64.93,58.94,19.99,14.19,10.49
Czechia,2010,88.09,68.65,61.68,20.01,15.34,10.8
Czechia,2011,90.06,67.76,62.8,19.95,14.1,11.38
Czechia,2012,91.56,67.4,63.99,20.14,13.56,11.72
Czechia,2013,95.66,71.49,66.9,20.46,14.63,12.2
Czechia,2014,96.89,76.12,70.71,20.79,15.15,12.1
Czechia,2015,103.14,81.97,76.6,23.45,17.51,14.47
Czechia,2016,108.82,86.99,81.96,22.42,16.15,13.28
Czechia,2017,115.03,88.74,83.15,23.59,17.07,13.82
Czechia,2018,122.0,90.17,84.94,25.16,17.57,14.34
Czechia,2019,125.04,94.39,89.09,24.76,18.39,15.12
Czechia,2020,124.21,96.07,84.35,24.72,18.8,10.33
Czechia,2021,136.79,105.49,94.34,27.1,20.59,12.21
Czechia,2022,131.68,106.85,93.15,26.05,22.14,12.29
Czechia,2023,125.94,108.43,94.03,25.82,23.11,13.53
Denmark,2004,175.57,161.62,93.39,32.25,31.44,5.26
Denmark,2005,181.39,163.93,95.23,33.73,32.91,6.43
Denmark,2006,178.56,168.18,100.32,35.09,34.25,7.12
Denmark,2007,179.25,173.03,101.87,35.12,34.29,7.65
Denmark,2008,164.22,160.04,98.08,30.01,29.33,7.64
Denmark,2009,125.65,135.88,105.55,29.96,29.29,7.91
Denmark,2010,125.09,135.28,105.08,29.82,29.16,7.87
Denmark,2011,158.53,143.49,86.05,33.8,33.01,7.53
Denmark,2012,160.05,142.41,98.53,32.85,32.64,8.51
Denmark,2013,159.05,148.49,111.08,33.85,33.13,9.85
Denmark,2014,161.41,148.84,112.66,33.22,32.64,10.21
Denmark,2015,155.26,145.99,114.79,34.67,33.94,10.57
Denmark,2016,163.29,156.95,129.01,37.46,36.75,13.53
Denmark,2017,168.29,156.42,120.24,34.81,34.2,14.54
Denmark,2018,173.1,152.1,119.24,42.88,41.99,13.43
Denmark,2019,163.15,151.79,111.28,39.8,39.05,14.89
Denmark,2020,179.34,180.48,112.48,39.27,39.27,8.99
Denmark,2021,185.26,177.76,119.79,36.3,36.3,7.56
Denmark,2022,187.73,180.54,121.88,35.83,35.83,8.4
Denmark,2023,192.38,177.83,120.71,40.62,40.62,11.29
Estonia,2004,96.42,32.71,32.27,21.26,2.57,2.56
Estonia,2005,101.26,41.64,40.83,23.29,5.95,5.94
Estonia,2006,112.96,56.61,51.59,26.85,9.04,9.04
Estonia,2007,121.02,62.56,60.01,27.85,10.68,10.65
Estonia,2008,160.4,71.69,69.78,53.72,12.1,11.84
Estonia,2009,121.08,71.28,69.2,39.42,10.84,8.93
Estonia,2010,118.6,73.09,66.58,38.22,16.29,12.76
Estonia,2011,145.41,97.44,91.41,39.18,18.6,15.52
Estonia,2012,149.15,101.09,91.39,35.98,15.82,10.71
Estonia,2013,169.9,132.02,99.28,49.06,34.48,13.8
Estonia,2014,173.3,142.11,104.48,50.17,38.1,14.69
Estonia,2015,172.14,137.88,101.56,46.47,35.49,12.93
Estonia,2016,169.33,141.94,94.86,49.1,42.15,12.08
Estonia,2017,175.46,142.69,93.88,49.95,39.75,13.26
Estonia,2018,158.15,136.88,95.56,41.9,34.26,15.81
Estonia,2019,157.64,157.33,104.29,43.31,36.97,17.59
Estonia,2020,154.74,147.8,110.45,40.32,35.25,16.5
Estonia,2021,149.96,146.39,105.59,37.63,33.46,15.99
Estonia,2022,143.21,139.9,104.55,33.83,30.35,14.98
Estonia,2023,139.25,129.27,95.45,34.78,31.46,14.74
Finland,2004,124.23,84.63,49.6,17.2,5.85,2.51
Finland,2005,131.3,89.02,56.69,19.08,2.76,2.59
Finland,2006,128.55,99.54,63.18,18.4,5.26,2.92
Finland,2007,131.55,110.16,68.3,18.63,8.01,3.43
Finland,2008,131.89,118.65,74.83,21.71,10.6,4.93
Finland,2009,122.46,107.76,67.96,21.04,9.52,5.33
Finland,2010,132.05,112.3,73.17,21.67,9.79,5.69
Finland,2011,131.7,118.02,77.27,21.74,10.16,5.52
Finland,2012,132.2,123.36,78.36,21.65,11.04,5.5
Finland,2013,131.77,122.76,76.38,21.65,11.72,4.92
Finland,2014,134.01,131.66,76.9,21.38,14.6,5.26
Finland,2015,130.27,133.19,79.31,21.27,18.9,5.03
Finland,2016,129.19,141.81,83.54,22.36,21.72,5.68
Finland,2017,135.0,151.34,87.96,23.66,23.17,6.28
Finland,2018,127.93,146.55,87.77,24.52,24.06,7.62
Finland,2019,131.44,151.28,90.0,24.22,23.76,10.18
Finland,2020,157.66,154.39,92.11,28.41,28.25,7.45
Finland,2021,158.74,150.12,91.67,29.94,29.86,8.74
Finland,2022,159.86,152.2,92.42,28.94,28.85,8.87
Finland,2023,153.46,145.29,86.94,28.49,28.4,8.34
France,2004,198.02,121.66,100.45,31.66,16.72,5.54
France,2005,196.2,124.54,104.57,31.86,17.12,6.04
France,2006,199.69,127.9,109.4,32.53,16.94,6.2
France,2007,200.5,135.18,114.31,33.12,17.69,6.99
France,2008,199.88,130.39,110.32,31.89,18.19,7.18
France,2009,190.34,126.46,107.35,29.1,16.91,7.28
France,2010,193.09,135.75,117.96,30.88,18.89,7.31
France,2011,196.7,140.03,120.53,31.2,19.02,7.28
France,2012,187.3,139.85,121.55,30.53,19.53,7.67
France,2013,184.43,139.01,122.54,30.09,19.32,7.7
